the,12
of,4
and,4
to,4
is,3
experiment,2
it,2
even,2
would,2
about,2
in,2
same,2
like,1
"galileo,",1
newton,1
stressed,1
importance,1
comparing,1
theory,1
model,1
with,1
observation,1
real,1
"world,",1
always,1
carried,1
out,1
relevant,1
"himself,",1
whenever,1
"possible,",1
test,1
his,1
ideas.,1
this,1
so,1
deeply,1
ingrained,1
a,1
part,1
scientific,1
method,1
today,1
that,1
may,1
seem,1
"obvious,",1
"non-scientists,",1
hard,1
appreciate,1
the,2730
i,1661
a,1617
to,1454
and,1296
of,1250
in,760
wa,733
it,623
he,495
that,478
my,454
with,424
not,412
but,403
is,400
for,366
be,337
on,326
you,324
at,312
if,298
or,293
this,292
had,281
me,281
would,255
his,252
by,234
have,227
so,225
they,220
one,218
red,198
from,180
all,179
there,171
when,169
about,169
no,160
were,146
we,138
him,137
like,136
are,134
what,131
she,127
out,122
shirt,118
do,117
